iter	Accuracy	MultiClass
0	0.4506894257	1.361982279
1	0.4682431109	1.340141739
2	0.460531183	1.320644668
3	0.4623722661	1.303718653
4	0.4620074944	1.287040383
5	0.4613256911	1.273672706
6	0.458790171	1.260155486
7	0.4610162047	1.245488539
8	0.4606440409	1.233958769
9	0.4624307693	1.222537789
10	0.4629064902	1.211453523
11	0.4642908026	1.202160386
12	0.4670791853	1.192059579
13	0.4676635364	1.183287869
14	0.4674714095	1.174496289
15	0.4702191638	1.166244777
16	0.4697503034	1.159283831
17	0.4693558969	1.152758215
18	0.4706164417	1.145879684
19	0.4705306139	1.141093839
20	0.4732238063	1.135890611
21	0.4747953699	1.130258204
22	0.4750915869	1.126072154
23	0.4764785075	1.119967123
24	0.4769590698	1.116547609
25	0.4810799869	1.111188123
26	0.4803563089	1.107114116
27	0.4793390241	1.103329545
28	0.4799705636	1.099791411
29	0.4831912757	1.09579648
30	0.4830252038	1.093422128
31	0.4827459536	1.090381817
32	0.4830486279	1.086951563
33	0.4856591383	1.081707734
34	0.4860073828	1.079876583
35	0.4867244069	1.077496648
36	0.4862329713	1.076187356
37	0.4884593159	1.073368431
38	0.4879974272	1.071577803
39	0.4882355686	1.0703119
40	0.4903417881	1.067914691
41	0.4909566222	1.065738903
42	0.4905072564	1.064410384
43	0.4905136975	1.062771213
44	0.4915486691	1.060063394
45	0.4917976052	1.058133588
46	0.492611243	1.056402468
47	0.4928281027	1.054767496
48	0.4934543675	1.053438827
49	0.4934897905	1.051963757
50	0.4940558447	1.050996567
51	0.4940487504	1.049281343
52	0.497114052	1.045967391
53	0.4977616739	1.044809236
54	0.4980637545	1.044036161
55	0.4995660583	1.042567281
56	0.4992698499	1.041208857
57	0.5007759941	1.040332418
58	0.5013422442	1.039949358
59	0.5012515495	1.039354549
60	0.5011518592	1.038575221
61	0.5011164728	1.037505199
62	0.5004731604	1.03660679
63	0.5011982298	1.035826819
64	0.5011560019	1.034936013
65	0.5012508824	1.034288949
66	0.5010981588	1.033241269
67	0.5018673489	1.032357096
68	0.501490823	1.031396602
69	0.5019790088	1.031103832
70	0.5017471881	1.030695125
71	0.502337721	1.030424636
72	0.5020953777	1.02962396
73	0.5033989983	1.027776142
74	0.5036003662	1.027201116
75	0.5034899834	1.02692934
76	0.5036628138	1.026344593
77	0.5042562369	1.025772273
78	0.5044120456	1.025147284
79	0.5046794197	1.024101327
80	0.5045184751	1.023372287
81	0.5045919338	1.022831175
82	0.5061823585	1.0215523
83	0.5063284634	1.021169528
84	0.5065418636	1.0210732
85	0.5067368905	1.020755003
86	0.5075076181	1.020401436
87	0.5072845423	1.020164516
88	0.5073620361	1.019957646
89	0.5074912582	1.019601069
90	0.5081441182	1.019213389
91	0.5080511219	1.018927187
92	0.5079440963	1.018411188
93	0.5076797525	1.017640032
94	0.5084661967	1.017116705
95	0.5088683397	1.016808424
96	0.509283749	1.016398685
97	0.5098008522	1.016001819
98	0.5095492045	1.015643864
99	0.5099071978	1.01493025
100	0.5106776457	1.014642995
101	0.5112724859	1.014400172
102	0.5111007928	1.014192356
103	0.5115365887	1.014010066
104	0.5116619144	1.013895197
105	0.5107676709	1.013289782
106	0.5116964251	1.012628783
107	0.5114829044	1.012459316
108	0.5112799826	1.012174863
109	0.5109302479	1.011429032
110	0.5109076512	1.011108843
111	0.5114210905	1.010918409
112	0.5116280495	1.010725065
113	0.5121126371	1.010421127
114	0.5122378326	1.010199618
115	0.5120306691	1.010040274
116	0.5123919917	1.009672751
117	0.5129943631	1.009348319
118	0.5127133407	1.009079326
119	0.5131557737	1.008920259
120	0.5133447231	1.00838275
121	0.513373295	1.008315351
122	0.5130510045	1.007515624
123	0.5123595333	1.007359338
