iter	Passed	Remaining
0	179	899369
1	214	536567
2	244	407003
3	268	335267
4	294	294042
5	314	262083
6	342	244588
7	367	229484
8	390	216610
9	413	206323
10	444	201524
11	468	194926
12	492	189033
13	512	182521
14	537	178531
15	558	173885
16	579	169820
17	605	167604
18	630	165302
19	654	162885
20	679	161142
21	707	160199
22	733	158757
23	759	157446
24	779	155039
25	803	153658
26	825	152105
27	850	150949
28	873	149811
29	905	149992
30	931	149310
31	959	149023
32	996	149982
33	1024	149696
34	1048	148803
35	1071	147715
36	1095	146895
37	1128	147345
38	1151	146487
39	1182	146576
40	1212	146705
41	1249	147478
42	1284	148047
43	1307	147313
44	1339	147466
45	1362	146763
46	1394	146994
47	1428	147391
48	1455	147085
49	1480	146590
50	1507	146255
51	1528	145406
52	1558	145500
53	1588	145523
54	1612	144949
55	1629	143896
56	1653	143417
57	1675	142754
58	1691	141614
59	1712	141024
60	1740	140889
61	1761	140301
62	1783	139798
63	1805	139276
64	1826	138698
65	1848	138200
66	1874	138016
67	1889	137044
68	1910	136556
69	1931	136061
70	1952	135561
71	1974	135173
72	1998	134907
73	2017	134322
74	2038	133836
75	2057	133295
76	2077	132816
77	2101	132578
78	2121	132176
79	2142	131756
80	2162	131343
81	2181	130848
82	2206	130725
83	2224	130168
84	2243	129713
85	2262	129303
86	2278	128669
87	2301	128460
88	2319	128003
89	2338	127586
90	2357	127187
91	2374	126668
92	2395	126418
93	2414	126000
94	2436	125809
95	2459	125631
96	2475	125111
97	2494	124800
98	2512	124360
99	2533	124122
100	2554	123920
101	2570	123451
102	2593	123304
103	2612	122985
104	2633	122762
105	2657	122700
106	2688	122940
107	2712	122888
108	2737	122816
109	2758	122623
110	2776	122275
111	2811	122697
112	2845	123060
113	2872	123093
114	2902	123296
115	2930	123393
116	2965	123784
117	2989	123691
118	3022	123984
119	3054	124212
120	3077	124086
121	3096	123803
122	3118	123661
123	3149	123840
124	3168	123589
125	3191	123436
126	3214	123356
127	3244	123476
128	3267	123398
129	3290	123268
130	3310	123040
131	3329	122805
132	3351	122662
133	3375	122566
134	3395	122380
135	3417	122220
136	3435	121957
137	3452	121640
138	3478	121647
139	3497	121422
140	3516	121183
141	3536	121003
142	3553	120694
143	3572	120489
144	3589	120183
145	3611	120084
146	3629	119837
147	3652	119731
148	3668	119430
149	3685	119169
150	3703	118928
151	3721	118680
152	3740	118484
153	3757	118244
154	3778	118111
155	3795	117854
156	3816	117730
157	3836	117571
158	3856	117407
159	3875	117235
160	3891	116951
161	3909	116745
162	3927	116539
163	3946	116387
164	3967	116248
165	3984	116028
166	4007	115965
167	4027	115834
168	4051	115809
169	4074	115773
170	4096	115674
171	4113	115459
172	4133	115321
173	4150	115106
174	4172	115031
175	4196	115017
176	4219	114970
177	4242	114921
178	4262	114805
179	4282	114688
180	4303	114582
181	4326	114525
182	4348	114466
183	4369	114360
184	4393	114341
185	4420	114405
186	4445	114414
187	4472	114473
188	4496	114459
189	4523	114507
190	4549	114558
191	4573	114536
192	4596	114476
193	4617	114399
194	4646	114489
195	4669	114443
196	4693	114441
197	4719	114462
198	4748	114565
199	4780	114742
200	4805	114736
201	4828	114694
202	4862	114906
203	4896	115115
204	4924	115176
205	4945	115084
206	4970	115095
207	4993	115032
208	5011	114884
209	5033	114800
210	5052	114666
211	5073	114595
212	5094	114489
213	5112	114346
214	5136	114319
215	5158	114244
216	5176	114090
217	5196	113993
218	5218	113933
219	5238	113823
220	5259	113736
221	5279	113632
222	5305	113654
223	5328	113620
224	5351	113570
225	5372	113497
226	5395	113447
227	5421	113468
228	5437	113290
229	5459	113234
230	5483	113211
231	5503	113100
232	5529	113120
233	5554	113123
234	5571	112979
235	5592	112896
236	5615	112855
237	5636	112784
238	5659	112735
239	5680	112659
240	5700	112564
241	5727	112615
242	5748	112530
243	5765	112386
244	5786	112297
245	5807	112226
246	5828	112163
247	5854	112178
248	5876	112118
249	5894	111994
250	5915	111919
251	5934	111805
252	5956	111760
253	5980	111739
254	5997	111597
255	6019	111543
256	6042	111511
257	6064	111469
258	6086	111410
259	6109	111374
260	6136	111425
261	6154	111306
262	6177	111271
263	6199	111211
264	6217	111097
265	6240	111064
266	6269	111130
267	6289	111051
268	6311	111002
269	6334	110970
270	6352	110849
271	6373	110791
272	6393	110711
273	6414	110630
274	6446	110757
275	6473	110808
276	6499	110817
277	6518	110722
278	6547	110796
279	6576	110867
280	6608	110974
281	6632	110959
282	6651	110859
283	6672	110808
284	6695	110768
285	6711	110618
286	6730	110532
287	6746	110384
288	6766	110300
289	6782	110149
290	6800	110052
291	6818	109936
292	6836	109824
293	6856	109744
294	6872	109615
295	6892	109540
296	6915	109503
297	6940	109507
298	6965	109508
299	6985	109441
300	7006	109378
301	7031	109386
302	7049	109284
303	7067	109181
304	7089	109127
305	7106	109017
306	7129	108981
307	7149	108919
308	7168	108829
309	7187	108738
310	7205	108640
311	7226	108578
312	7248	108536
313	7269	108482
314	7290	108428
315	7307	108316
316	7329	108273
317	7355	108292
318	7382	108324
319	7399	108214
320	7420	108160
321	7444	108148
322	7466	108110
323	7486	108048
324	7504	107951
325	7527	107922
326	7554	107951
327	7578	107950
328	7594	107827
329	7615	107768
330	7640	107769
331	7665	107777
332	7691	107793
333	7716	107802
334	7738	107761
335	7759	107715
336	7785	107729
337	7808	107703
338	7827	107619
339	7851	107612
340	7875	107595
341	7893	107514
342	7919	107519
343	7949	107589
344	7968	107514
345	7988	107447
346	8013	107457
347	8033	107391
348	8058	107396
349	8083	107400
350	8104	107347
351	8126	107301
352	8150	107296
353	8177	107320
354	8196	107244
355	8221	107247
356	8244	107230
357	8264	107159
358	8286	107122
359	8311	107124
360	8332	107077
361	8353	107030
362	8377	107015
363	8400	106988
364	8420	106933
365	8442	106891
366	8463	106846
367	8487	106826
368	8506	106758
369	8528	106727
370	8549	106676
371	8569	106611
372	8587	106527
373	8611	106516
374	8641	106580
375	8673	106671
376	8698	106670
377	8715	106568
378	8736	106516
379	8756	106461
380	8774	106375
381	8795	106329
382	8813	106246
383	8831	106165
384	8853	106128
385	8874	106076
386	8896	106041
387	8917	105996
388	8935	105911
389	8953	105829
390	8969	105725
391	8989	105672
392	9005	105565
393	9030	105571
394	9056	105581
395	9073	105490
396	9091	105415
397	9109	105326
398	9128	105266
399	9147	105201
400	9170	105175
401	9193	105154
402	9217	105141
403	9243	105150
404	9266	105137
405	9288	105098
406	9306	105025
407	9331	105025
408	9358	105045
409	9386	105081
410	9411	105085
411	9439	105119
412	9483	105324
413	9503	105270
414	9527	105263
415	9553	105275
416	9581	105300
417	9602	105263
418	9625	105240
419	9651	105242
420	9671	105189
421	9710	105343
422	9733	105325
423	9757	105308
424	9780	105284
425	9801	105237
426	9822	105192
427	9846	105182
428	9869	105159
429	9894	105158
430	9919	105152
431	9946	105173
432	9964	105099
433	9989	105098
434	10014	105099
435	10033	105033
436	10055	105000
437	10076	104948
438	10093	104865
439	10112	104800
440	10129	104716
441	10147	104639
442	10165	104566
443	10183	104500
444	10204	104457
445	10222	104382
446	10243	104341
447	10265	104308
448	10286	104262
449	10316	104308
450	10339	104284
451	10358	104225
452	10382	104214
453	10404	104179
454	10427	104158
455	10452	104158
456	10472	104108
457	10493	104063
458	10517	104049
459	10542	104050
460	10568	104055
461	10587	103997
462	10608	103955
463	10630	103920
464	10649	103859
465	10668	103802
466	10685	103722
467	10717	103785
468	10745	103807
469	10767	103784
470	10792	103775
471	10808	103690
472	10829	103643
473	10849	103596
474	10868	103539
475	10891	103515
476	10908	103438
477	10929	103396
478	10944	103301
479	10967	103277
480	10989	103249
481	11009	103197
482	11030	103155
483	11055	103152
484	11073	103090
485	11096	103061
486	11121	103066
487	11140	103000
488	11163	102980
489	11186	102965
490	11204	102890
491	11223	102832
492	11240	102760
493	11261	102725
494	11285	102709
495	11305	102658
496	11333	102684
497	11358	102681
498	11376	102614
499	11396	102570
500	11421	102567
501	11444	102540
502	11468	102536
503	11497	102560
504	11519	102534
505	11545	102538
506	11566	102503
507	11595	102529
508	11624	102561
509	11646	102532
510	11666	102489
511	11693	102499
512	11715	102473
513	11736	102429
514	11757	102389
515	11777	102347
516	11796	102290
517	11816	102242
518	11834	102177
519	11854	102128
520	11873	102078
521	11893	102026
522	11913	101979
523	11935	101949
524	11957	101926
525	11978	101887
526	11996	101820
527	12015	101766
528	12034	101709
529	12056	101686
530	12083	101698
531	12105	101667
532	12128	101649
533	12152	101638
534	12175	101611
535	12198	101593
536	12218	101551
537	12241	101524
538	12260	101473
539	12283	101450
540	12303	101408
541	12323	101359
542	12344	101326
543	12367	101308
544	12389	101276
545	12411	101247
546	12432	101211
547	12457	101207
548	12481	101195
549	12506	101191
550	12525	101137
551	12544	101085
552	12565	101047
553	12585	100998
554	12607	100971
555	12627	100928
556	12646	100876
557	12669	100852
558	12688	100807
559	12710	100779
560	12734	100762
561	12769	100839
562	12793	100825
563	12818	100820
564	12849	100863
565	12872	100839
566	12894	100814
567	12911	100747
568	12935	100731
569	12963	100749
570	12986	100731
571	13009	100707
572	13030	100673
573	13053	100656
574	13083	100688
575	13103	100644
576	13126	100622
577	13151	100617
578	13170	100561
579	13196	100568
580	13221	100558
581	13244	100539
582	13264	100496
583	13286	100470
584	13311	100464
585	13330	100408
586	13354	100394
587	13374	100350
588	13396	100324
589	13427	100362
590	13460	100417
591	13481	100384
592	13498	100318
593	13519	100278
594	13537	100223
595	13561	100209
596	13587	100212
597	13614	100217
598	13645	100256
599	13677	100301
600	13701	100289
601	13731	100315
602	13759	100330
603	13781	100306
604	13798	100241
605	13821	100219
606	13846	100211
607	13875	100230
608	13899	100216
609	13923	100203
610	13948	100199
611	13967	100145
612	14006	100240
613	14031	100234
614	14053	100201
615	14077	100187
616	14097	100146
617	14118	100107
618	14140	100081
619	14160	100037
620	14179	99990
621	14195	99918
622	14215	99871
623	14241	99871
624	14264	99848
625	14282	99796
626	14304	99768
627	14323	99720
628	14343	99678
629	14368	99668
630	14387	99614
631	14407	99578
632	14435	99588
633	14462	99598
634	14487	99586
635	14520	99630
636	14549	99653
637	14575	99655
638	14600	99641
639	14619	99595
640	14639	99551
641	14657	99500
642	14676	99451
643	14698	99417
644	14716	99364
645	14738	99336
646	14757	99289
647	14777	99243
648	14800	99225
649	14825	99214
650	14846	99179
651	14869	99159
652	14891	99130
653	14912	99094
654	14933	99063
655	14957	99049
656	14981	99035
657	15004	99010
658	15027	98989
659	15046	98945
660	15068	98912
661	15091	98890
662	15107	98825
663	15130	98802
664	15151	98769
665	15168	98708
666	15188	98667
667	15207	98621
668	15229	98591
