id_student,kuz_assess_count,kuz_weight_mean,kuz_weight_sum,kuz_modules_nunique,kuz_score_mean,kuz_score_std,kuz_score_min,kuz_score_max,kuz_type_cma,kuz_type_exam,kuz_type_tma,final_result,kuz_duration_days,kuz_score_cv,kuz_score_range,kuz_workload_per_module,kuz_assess_per_day
11391,5,20.0,100.0,1,61.8,9.239047569960878,48.0,77.0,0,0,5,Pass,0,0.14949914919840987,29.0,50.0,5.0
28400,7,12.857142857142858,90.0,1,87.0,4.140393356054124,83.0,93.0,0,0,5,Pass,0,0.04759072768348732,10.0,45.0,7.0
31604,5,20.0,100.0,1,82.0,2.756809750418044,78.0,85.0,0,0,5,Pass,0,0.033619630692663584,7.0,50.0,5.0
32885,4,6.25,25.0,1,82.5,17.557049866079435,63.0,100.0,0,0,5,Pass,0,0.21281272306989954,37.0,12.5,4.0
38053,9,22.22222222222222,200.0,1,74.44444444444444,12.499876542600209,56.0,94.0,0,0,5,Pass,0,0.1679087871227206,38.0,100.0,9.0
45462,11,9.090909090909092,100.0,1,93.9090909090909,5.615798258720183,87.0,100.0,0,0,5,Pass,0,0.059800368042708586,13.0,50.0,11.0
45642,8,0.0,0.0,1,62.5,11.9895788082818,40.0,80.0,0,0,5,Pass,0,0.19183325786317668,40.0,0.0,8.0
52130,7,28.571428571428573,200.0,1,76.28571428571429,12.34867587712818,58.0,91.0,0,0,5,Pass,0,0.16187402622992336,33.0,100.0,7.0
53025,9,0.0,0.0,1,88.88888888888889,9.938079899999064,80.0,100.0,0,0,5,Pass,0,0.11180339761720125,20.0,0.0,9.0
57506,5,20.0,100.0,1,46.8,6.431174076325412,38.0,55.0,0,0,5,Pass,0,0.13741824655784543,17.0,50.0,5.0
58873,11,9.090909090909092,100.0,1,77.36363636363636,20.82076204732682,53.0,100.0,0,0,5,Pass,0,0.2691285306230096,47.0,50.0,11.0
59185,4,25.0,100.0,1,84.25,8.584142356694697,75.0,97.0,0,0,5,Pass,0,0.10188892884042455,22.0,50.0,4.0
62155,1,2.0,2.0,1,78.0,0.0,78.0,78.0,0,0,5,Pass,0,0.0,0.0,1.0,1.0
63400,2,7.5,15.0,1,55.0,25.0,30.0,80.0,0,0,5,Pass,0,0.4545454462809919,50.0,7.5,2.0
