id_student,kuz_assess_count,kuz_weight_mean,kuz_weight_sum,kuz_date_min,kuz_date_max,kuz_modules_nunique,kuz_score_mean,kuz_score_std,kuz_score_min,kuz_score_max,kuz_type_CMA,kuz_type_Exam,kuz_type_TMA,final_result
11391,5,20.0,100.0,19.0,215.0,1,61.8,9.239047569960878,48.0,77.0,0,0,5,Pass
28400,7,12.857142857142858,90.0,20.0,111.0,1,87.0,4.140393356054124,83.0,93.0,0,0,5,Pass
31604,5,20.0,100.0,19.0,215.0,1,82.0,2.756809750418044,78.0,85.0,0,0,5,Pass
32885,4,6.25,25.0,19.0,89.0,1,82.5,17.557049866079435,63.0,100.0,0,0,5,Pass
38053,9,22.22222222222222,200.0,18.0,214.0,1,74.44444444444444,12.499876542600207,56.0,94.0,0,0,5,Pass
45462,11,9.090909090909092,100.0,19.0,208.0,1,93.9090909090909,5.615798258720183,87.0,100.0,0,0,5,Pass
45642,8,0.0,0.0,117.0,222.0,1,62.5,11.989578808281799,40.0,80.0,0,0,5,Pass
52130,7,28.571428571428573,200.0,25.0,241.0,1,76.28571428571429,12.34867587712818,58.0,91.0,0,0,5,Pass
53025,9,0.0,0.0,61.0,229.0,1,88.88888888888889,9.938079899999064,80.0,100.0,0,0,5,Pass
57506,5,20.0,100.0,19.0,215.0,1,46.8,6.431174076325412,38.0,55.0,0,0,5,Pass
58873,11,9.090909090909092,100.0,19.0,187.0,1,77.36363636363636,20.82076204732682,53.0,100.0,0,0,5,Pass
59185,4,25.0,100.0,33.0,152.0,1,84.25,8.584142356694697,75.0,97.0,0,0,5,Pass
62155,1,2.0,2.0,18.0,18.0,1,78.0,0.0,78.0,78.0,0,0,5,Pass
63400,2,7.5,15.0,20.0,41.0,1,55.0,25.0,30.0,80.0,0,0,5,Pass
65002,2,9.5,19.0,40.0,47.0,1,86.5,13.5,73.0,100.0,0,0,4,Withdrawn
70464,9,0.0,0.0,61.0,229.0,1,88.0,17.632041540584257,53.0,100.0,0,0,5,Pass
71361,5,20.0,100.0,19.0,215.0,1,86.2,1.9390719429665313,83.0,88.0,0,0,5,Pass
74372,12,8.333333333333334,100.0,24.0,227.0,1,89.25,9.047329256010668,68.0,99.0,0,0,4,Fail
75091,1,12.5,12.5,19.0,19.0,1,88.0,0.0,88.0,88.0,0,0,5,Pass
77367,5,20.0,100.0,19.0,201.0,1,51.4,25.546819762937226,1.0,72.0,0,0,5,Pass
91265,3,10.0,30.0,19.0,110.0,1,74.33333333333333,18.153665072253467,61.0,100.0,0,0,5,Pass
94961,9,22.22222222222222,200.0,18.0,214.0,1,93.33333333333333,4.737556801183964,84.0,100.0,0,0,6,Withdrawn
98094,12,8.333333333333334,100.0,24.0,227.0,1,52.0,14.882876066137218,16.0,69.0,0,0,5,Pass
100893,8,13.75,110.0,20.0,123.0,1,50.625,19.962073414352528,6.0,80.0,0,0,5,Pass
